TID,SDate,TName,SStationID,AStationID,STime,ATime
172,2020-02-20,C5003               ,1599,1621,2020-02-20 10:11:00,2020-02-20 11:11:00
173,2020-02-21,C5003               ,1599,1621,2020-02-21 10:11:00,2020-02-21 11:11:00
174,2020-02-22,C5003               ,1599,1621,2020-02-22 10:11:00,2020-02-22 11:11:00
175,2020-02-23,C5003               ,1599,1621,2020-02-23 10:11:00,2020-02-23 11:11:00
176,2020-02-24,C5003               ,1599,1621,2020-02-24 10:11:00,2020-02-24 11:11:00
177,2020-02-25,C5003               ,1599,1621,2020-02-25 10:11:00,2020-02-25 11:11:00
178,2020-02-26,C5003               ,1599,1621,2020-02-26 10:11:00,2020-02-26 11:11:00
179,2020-02-27,C5003               ,1599,1621,2020-02-27 10:11:00,2020-02-27 11:11:00
180,2020-02-28,C5003               ,1599,1621,2020-02-28 10:11:00,2020-02-28 11:11:00
181,2020-02-29,C5003               ,1599,1621,2020-02-29 10:11:00,2020-02-29 11:11:00
182,2020-03-01,C5003               ,1599,1621,2020-03-01 10:11:00,2020-03-01 11:11:00
183,2019-12-02,C5005               ,1599,1621,2019-12-02 12:37:00,2019-12-02 14:05:00
184,2019-12-03,C5005               ,1599,1621,2019-12-03 12:37:00,2019-12-03 14:05:00
185,2019-12-04,C5005               ,1599,1621,2019-12-04 12:37:00,2019-12-04 14:05:00
186,2019-12-05,C5005               ,1599,1621,2019-12-05 12:37:00,2019-12-05 14:05:00
187,2019-12-06,C5005               ,1599,1621,2019-12-06 12:37:00,2019-12-06 14:05:00
188,2019-12-07,C5005               ,1599,1621,2019-12-07 12:37:00,2019-12-07 14:05:00
189,2019-12-08,C5005               ,1599,1621,2019-12-08 12:37:00,2019-12-08 14:05:00
190,2019-12-09,C5005               ,1599,1621,2019-12-09 12:37:00,2019-12-09 14:05:00
191,2019-12-10,C5005               ,1599,1621,2019-12-10 12:37:00,2019-12-10 14:05:00
192,2019-12-11,C5005               ,1599,1621,2019-12-11 12:37:00,2019-12-11 14:05:00
193,2019-12-12,C5005               ,1599,1621,2019-12-12 12:37:00,2019-12-12 14:05:00
194,2019-12-13,C5005               ,1599,1621,2019-12-13 12:37:00,2019-12-13 14:05:00
195,2019-12-14,C5005               ,1599,1621,2019-12-14 12:37:00,2019-12-14 14:05:00
196,2019-12-15,C5005               ,1599,1621,2019-12-15 12:37:00,2019-12-15 14:05:00
197,2019-12-16,C5005               ,1599,1621,2019-12-16 12:37:00,2019-12-16 14:05:00
198,2019-12-17,C5005               ,1599,1621,2019-12-17 12:37:00,2019-12-17 14:05:00
199,2019-12-18,C5005               ,1599,1621,2019-12-18 12:37:00,2019-12-18 14:05:00
200,2019-12-19,C5005               ,1599,1621,2019-12-19 12:37:00,2019-12-19 14:05:00
201,2019-12-20,C5005               ,1599,1621,2019-12-20 12:37:00,2019-12-20 14:05:00
202,2019-12-21,C5005               ,1599,1621,2019-12-21 12:37:00,2019-12-21 14:05:00
203,2019-12-22,C5005               ,1599,1621,2019-12-22 12:37:00,2019-12-22 14:05:00
204,2019-12-23,C5005               ,1599,1621,2019-12-23 12:37:00,2019-12-23 14:05:00
205,2019-12-24,C5005               ,1599,1621,2019-12-24 12:37:00,2019-12-24 14:05:00
206,2019-12-25,C5005               ,1599,1621,2019-12-25 12:37:00,2019-12-25 14:05:00
207,2019-12-26,C5005               ,1599,1621,2019-12-26 12:37:00,2019-12-26 14:05:00
208,2019-12-27,C5005               ,1599,1621,2019-12-27 12:37:00,2019-12-27 14:05:00
209,2019-12-28,C5005               ,1599,1621,2019-12-28 12:37:00,2019-12-28 14:05:00
210,2019-12-29,C5005               ,1599,1621,2019-12-29 12:37:00,2019-12-29 14:05:00
211,2019-12-30,C5005               ,1599,1621,2019-12-30 12:37:00,2019-12-30 14:05:00
212,2019-12-31,C5005               ,1599,1621,2019-12-31 12:37:00,2019-12-31 14:05:00
213,2020-01-01,C5005               ,1599,1621,2020-01-01 12:37:00,2020-01-01 14:05:00
214,2020-01-02,C5005               ,1599,1621,2020-01-02 12:37:00,2020-01-02 14:05:00
215,2020-01-03,C5005               ,1599,1621,2020-01-03 12:37:00,2020-01-03 14:05:00
216,2020-01-04,C5005               ,1599,1621,2020-01-04 12:37:00,2020-01-04 14:05:00
217,2020-01-05,C5005               ,1599,1621,2020-01-05 12:37:00,2020-01-05 14:05:00
218,2020-01-06,C5005               ,1599,1621,2020-01-06 12:37:00,2020-01-06 14:05:00
219,2020-01-07,C5005               ,1599,1621,2020-01-07 12:37:00,2020-01-07 14:05:00
220,2020-01-08,C5005               ,1599,1621,2020-01-08 12:37:00,2020-01-08 14:05:00
221,2020-01-09,C5005               ,1599,1621,2020-01-09 12:37:00,2020-01-09 14:05:00
222,2020-01-10,C5005               ,1599,1621,2020-01-10 12:37:00,2020-01-10 14:05:00
223,2020-01-11,C5005               ,1599,1621,2020-01-11 12:37:00,2020-01-11 14:05:00
224,2020-01-12,C5005               ,1599,1621,2020-01-12 12:37:00,2020-01-12 14:05:00
225,2020-01-13,C5005               ,1599,1621,2020-01-13 12:37:00,2020-01-13 14:05:00
226,2020-01-14,C5005               ,1599,1621,2020-01-14 12:37:00,2020-01-14 14:05:00
227,2020-01-15,C5005               ,1599,1621,2020-01-15 12:37:00,2020-01-15 14:05:00
228,2020-01-16,C5005               ,1599,1621,2020-01-16 12:37:00,2020-01-16 14:05:00
229,2020-01-17,C5005               ,1599,1621,2020-01-17 12:37:00,2020-01-17 14:05:00
230,2020-01-18,C5005               ,1599,1621,2020-01-18 12:37:00,2020-01-18 14:05:00
231,2020-01-19,C5005               ,1599,1621,2020-01-19 12:37:00,2020-01-19 14:05:00
232,2020-01-20,C5005               ,1599,1621,2020-01-20 12:37:00,2020-01-20 14:05:00
233,2020-01-21,C5005               ,1599,1621,2020-01-21 12:37:00,2020-01-21 14:05:00
234,2020-01-22,C5005               ,1599,1621,2020-01-22 12:37:00,2020-01-22 14:05:00
235,2020-01-23,C5005               ,1599,1621,2020-01-23 12:37:00,2020-01-23 14:05:00
236,2020-01-24,C5005               ,1599,1621,2020-01-24 12:37:00,2020-01-24 14:05:00
